Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
01/09/2009,154.17,158.8,159.63,153.93,-2.28%,-0.022799999999999997,9.682344187411651e-05,-0.0091,-1.2376430768819717,0.0,1.0,0.0,1.0
01/12/2009,151.01,152.76,153.68,150.04,-2.05%,-0.020499999999999997,9.291682097734011e-05,-0.0092,-1.361198144390622,0.0,1.0,0.0,1.0000929168209773
01/13/2009,152.45,149.7,152.67,147.77,0.95%,0.0095,9.057102323084543e-05,-0.0092,-1.3127289629300423,-1.3127289629300423,1.0000929168209773,0.0,1.0001834962597798
01/14/2009,154.5,151.45,154.8,150.15,1.34%,0.0134,9.096208467762601e-05,-0.0092,-1.2389201543711441,-1.2389201543711441,1.0001834962597798,0.0,1.0002744750356598
01/15/2009,145.05,148.44,149.39,144.64,-6.12%,-0.061200000000000004,9.330765410231479e-05,-0.009300000000000001,-1.6307194992879932,0.0,1.0002744750356598,0.0,1.0003678083003837
01/16/2009,148.03,146.08,148.11,144.44,2.05%,0.020499999999999997,9.330765410231479e-05,-0.009300000000000001,-1.579940140780149,-1.579940140780149,1.0003678083003837,0.0,1.0004611502738157
01/19/2009,150.02,149.42,151.23,148.74,1.34%,0.0134,9.330765410231479e-05,-0.009300000000000001,-1.5850363977201491,-1.5850363977201491,1.0004611502738157,0.0,1.0005545009567682
01/20/2009,146.55,147.78,147.86,144.95,-2.31%,-0.0231,9.447992534150629e-05,-0.009300000000000001,-1.705969148871185,0.0,1.0005545009567682,0.0,1.0006490332713187
01/21/2009,143.29,141.28,145.3,141.05,-2.22%,-0.0222,0.00010579427587908974,-0.009399999999999999,-1.8493790450567171,0.0,1.0006490332713187,0.0,1.0007548962112027
01/22/2009,145.11,146.29,146.6,143.57,1.27%,0.0127,0.00010384579827982243,-0.009300000000000001,-1.7109851823263755,-1.7109851823263755,1.0007548962112027,0.0,1.0008588204022821
01/23/2009,141.75,143.48,143.48,141.04,-2.32%,-0.0232,0.00010306614249411261,-0.009399999999999999,-1.7868531706077337,0.0,1.0008588204022821,0.0,1.0009619750600822
01/28/2009,151.04,146.05,151.41,145.84,6.55%,0.0655,9.994600504481532e-05,-0.009399999999999999,-1.4674687596143927,-1.4674687596143927,1.0009619750600822,0.0,1.0010620172106912
01/29/2009,152.29,152.03,154.04,151.47,0.83%,0.0083,0.00010072626667101403,-0.009399999999999999,-1.4003741580698084,-1.4003741580698084,1.0010620172106912,0.0,1.001162850450391
01/30/2009,151.33,149.55,151.74,149.12,-0.63%,-0.0063,9.877532832303082e-05,-0.009399999999999999,-1.5593631170947504,-1.5593631170947504,1.001162850450391,0.0,1.0012617406396491
02/02/2009,149.0,148.86,152.39,147.55,-1.54%,-0.0154,9.52612494617977e-05,-0.0095,-1.6275696321126023,0.0,1.0012617406396491,0.0,1.0013571220841007
02/03/2009,151.42,149.71,153.17,147.75,1.62%,0.016200000000000003,9.877532832303082e-05,-0.0095,-1.646832307426634,-1.646832307426634,1.0013571220841007,0.0,1.001456031462603
02/04/2009,155.99,154.2,156.0,153.18,3.02%,0.0302,9.760431028493777e-05,-0.0095,-1.499060217248833,-1.499060217248833,1.001456031462603,0.0,1.0015537778878347
02/05/2009,154.0,154.76,157.99,154.0,-1.28%,-0.0128,9.877532832303082e-05,-0.0095,-1.510875622441934,0.0,1.0015537778878347,0.0,1.0016527066910788
02/06/2009,158.9,156.99,158.92,156.28,3.18%,0.0318,9.877532832303082e-05,-0.0095,-1.379385084934587,-1.379385084934587,1.0016527066910788,0.0,1.0017516452660478
02/09/2009,157.7,160.77,161.32,157.29,-0.76%,-0.0076,9.213504061444944e-05,-0.009399999999999999,-1.3439557698336977,-1.3439557698336977,1.0017516452660478,0.0,1.00184394169457
02/10/2009,156.84,159.29,160.02,155.25,-0.55%,-0.0055000000000000005,9.057102323084543e-05,-0.009399999999999999,-1.334517358177595,-1.334517358177595,1.00184394169457,0.0,1.0019346797254869
02/11/2009,155.26,152.61,155.78,151.79,-1.01%,-0.0101,9.017992370452532e-05,-0.0095,-1.3606001365916875,0.0,1.0019346797254869,0.0,1.0020250341184616
02/12/2009,153.66,154.12,154.56,151.04,-1.03%,-0.0103,9.057102323084543e-05,-0.0097,-1.3654656865283858,0.0,1.0020250341184616,0.0,1.0021157885511045
02/13/2009,155.19,153.44,155.24,151.35,1.00%,0.01,9.52612494617977e-05,-0.0097,-1.3752644999143642,-1.3752644999143642,1.0021157885511045,0.0,1.0022112513532273
02/16/2009,152.66,153.85,156.14,152.57,-1.63%,-0.0163,9.52612494617977e-05,-0.0097,-1.4232160712795672,0.0,1.0022112513532273,0.0,1.002306723249256
02/17/2009,146.6,151.46,151.46,145.78,-3.97%,-0.0397,8.900639657349885e-05,-0.0101,-1.6611569628438598,0.0,1.002306723249256,0.0,1.0023959349589537
02/18/2009,144.21,144.49,145.53,142.47,-1.63%,-0.0163,9.057102323084543e-05,-0.0103,-1.836439565086164,0.0,1.0023959349589537,0.0,1.0024867229844654
02/19/2009,143.6,143.57,145.53,141.54,-0.42%,-0.0042,9.213504061444944e-05,-0.0103,-1.9469013225705032,-1.9469013225705032,1.0024867229844654,0.0,1.002579087139403
02/20/2009,138.31,142.01,143.09,137.07,-3.68%,-0.0368,8.939761038329053e-05,-0.0104,-2.1285659536329167,0.0,1.002579087139403,0.0,1.0026687153140135
02/23/2009,142.78,137.33,142.79,136.25,3.23%,0.0323,8.978878609111618e-05,-0.0104,-2.0040350028182656,-2.0040350028182656,1.0026687153140135,0.0,1.002758743720813
02/24/2009,137.82,137.66,138.97,136.79,-3.47%,-0.0347,9.057102323084543e-05,-0.0108,-2.218984244005052,0.0,1.002758743720813,0.0,1.002758743720813
02/25/2009,138.65,142.02,142.14,137.69,0.60%,0.006,9.487060640056555e-05,-0.0108,-2.2250207692472657,-2.2250207692472657,1.002758743720813,0.0,1.0028538760509031
02/26/2009,136.98,140.01,143.18,134.44,-1.20%,-0.012,9.877532832303082e-05,-0.0109,-2.2757820369028683,0.0,1.0028538760509031,0.0,1.0029529332717702
02/27/2009,138.07,137.2,140.22,135.95,0.80%,0.008,0.00010228633533659881,-0.0109,-2.2919205909725466,-2.2919205909725466,1.0029529332717702,0.0,1.0030555216518295
03/02/2009,132.47,135.42,135.42,131.28,-4.06%,-0.0406,9.994600504481532e-05,-0.011200000000000002,-2.6075627915294004,0.0,1.0030555216518295,0.0,1.0031557730440568
03/03/2009,133.78,129.46,134.44,129.36,0.99%,0.009899999999999999,0.00010072626667101403,-0.011200000000000002,-2.520792192014,-2.520792192014,1.0031557730440568,0.0,1.003256817179965
03/04/2009,138.21,132.77,138.71,131.22,3.31%,0.0331,0.00010189637497504123,-0.0109,-2.30369478387823,-2.30369478387823,1.003256817179965,0.0,1.0033590454128045
03/05/2009,138.25,139.35,140.29,137.15,0.03%,0.0003,9.721389505634725e-05,-0.0109,-2.3085766812489554,-2.3085766812489554,1.0033590454128045,0.0,1.0034565858537492
03/06/2009,137.83,135.35,138.45,135.32,-0.30%,-0.003,9.760431028493777e-05,-0.0109,-2.436928990988021,-2.436928990988021,1.0034565858537492,0.0,1.0035545275417124
03/09/2009,140.0,139.61,140.8,137.22,1.57%,0.015700000000000002,0.00010228633533659881,-0.0109,-2.3856654854377144,-2.3856654854377144,1.0035545275417124,0.0,1.003657177456645
03/10/2009,142.73,138.4,143.4,138.37,1.95%,0.0195,0.00010501499826509608,-0.0109,-2.302730507641278,-2.302730507641278,1.003657177456645,0.0,1.0037625765133944
03/11/2009,147.6,146.93,147.7,146.3,3.41%,0.0341,0.00010306614249411261,-0.0109,-2.1549883024131,-2.1549883024131,1.0037625765133944,0.0,1.0038660304501357
03/12/2009,148.02,147.38,148.19,144.94,0.28%,0.0028000000000000004,9.721389505634725e-05,-0.0108,-2.0420553153012455,-2.0420553153012455,1.0038660304501357,0.0,1.0039636201770705
03/13/2009,147.29,149.06,150.54,147.21,-0.49%,-0.0049,9.760431028493777e-05,-0.0104,-1.8887487875741666,-1.8887487875741666,1.0039636201770705,0.0,1.004061611353769
